type,Country/Region,Lat,Long,4/23/20,type
node,United Kingdom,16.7425,-62.1874,11,node
node,United Kingdom,55.3781,-3.4360000000000000,138078,node
node,Uruguay,-32.5228,-55.7658,557,node
node,US,37.0902,-95.7129,869170,node
node,Uzbekistan,41.3775,64.5853,1758,node
node,Venezuela,6.4238,-66.5897,311,node
node,Vietnam,16.0,108.0,268,node
node,Zambia,-15.4167,28.2833,76,node
node,Zimbabwe,-20.0,30.0,28,node
node,Canada,0.0,0.0,0,node
node,Dominica,15.415,-61.371,16,node
node,Grenada,12.1165,-61.679,15,node
node,Mozambique,-18.665695,35.529562,46,node
node,Syria,34.802075,38.99681500000000,42,node
node,Timor-Leste,-8.874217,125.727539,23,node
node,Belize,13.1939,-59.5432,18,node
node,Canada,0.0,0.0,0,node
node,Laos,19.85627,102.495496,19,node
node,Libya,26.3351,17.228331,60,node
node,West Bank and Gaza,31.9522,35.2332,480,node
node,Guinea-Bissau,11.8037,-15.1804,50,node
node,Mali,17.570692,-3.996166000000000,309,node
node,Saint Kitts and Nevis,17.357822,-62.782998,15,node
node,Canada,64.8255,-124.8457,5,node
node,Canada,64.2823,-135.0,11,node
node,Kosovo,42.602636,20.902977,510,node
node,Burma,21.9162,95.956,139,node
node,United Kingdom,18.2206,-63.0686,3,node
node,United Kingdom,18.4207,-64.64,5,node
node,United Kingdom,21.694000000000000,-71.7979,11,node
node,MS Zaandam,0.0,0.0,9,node
node,Botswana,-22.3285,24.6849,22,node
node,Burundi,-3.3731,29.9189,11,node
node,Sierra Leone,8.460555000000000,-11.779889,64,node
node,Netherlands,12.1784,-68.2385,5,node
node,Malawi,-13.254308000000000,34.301525,33,node
node,United Kingdom,-51.7963,-59.5236,12,node
node,France,46.8852,-56.3159,1,node
node,South Sudan,6.877000000000000,31.307,5,node
node,Western Sahara,24.2155,-12.8858,6,node
node,Sao Tome and Principe,0.18636,6.613081,4,node
node,Yemen,15.552727,48.516388,1,node
